customer_id,total_orders,total_revenue,avg_order_value,product_category,device_type,marketing_channel,lifespan_days,lifespan_months,purchase_freq_monthly,predicted_clv,historical_clv,clv_tier
1000,1,1228.72,1228.72,Grocery,Desktop,Direct,1,0.03,5.0,73723.2,1228.72,Gold
1003,1,1681.96,1681.96,Fashion,Mobile,Direct,1,0.03,5.0,100917.6,1681.96,Gold
1008,1,1546.42,1546.42,Home & Kitchen,Desktop,Referral,1,0.03,5.0,92785.2,1546.42,Gold
1009,3,4616.63,1538.8766666666668,Books,Desktop,Organic Search,128,4.27,0.7026,12974.58,4616.63,Bronze
1014,1,2423.92,2423.92,Toys & Baby,Desktop,Paid Ads,1,0.03,5.0,145435.2,2423.92,Platinum
1026,1,244.3,244.3,Fashion,Mobile,Paid Ads,1,0.03,5.0,14658.0,244.3,Bronze
1028,1,2328.44,2328.44,Toys & Baby,Desktop,Social Media,1,0.03,5.0,139706.4,2328.44,Platinum
1029,1,357.02,357.02,Grocery,Tablet,Email Campaign,1,0.03,5.0,21421.2,357.02,Silver
1031,2,2231.42,1115.71,Electronics,Desktop,Direct,165,5.5,0.3636,4868.07,2231.42,Bronze
1033,1,571.06,571.06,Electronics,Desktop,Direct,1,0.03,5.0,34263.6,571.06,Silver
1035,1,325.77,325.77,Sports & Fitness,Desktop,Paid Ads,1,0.03,5.0,19546.2,325.77,Silver
1036,1,395.17,395.17,Grocery,Mobile,Organic Search,1,0.03,5.0,23710.2,395.17,Silver
1038,1,4503.98,4503.98,Beauty & Personal Care,Desktop,Social Media,1,0.03,5.0,270238.8,4503.98,Platinum
1039,2,1852.98,926.49,Electronics,Desktop,Direct,295,9.83,0.2035,2262.49,1852.98,Bronze
1040,2,7417.69,3708.845,Books,Mobile,Organic Search,269,8.97,0.223,9924.87,7417.69,Bronze
1041,1,1296.48,1296.48,Sports & Fitness,Desktop,Referral,1,0.03,5.0,77788.8,1296.48,Gold
1042,3,4330.68,1443.5600000000002,Beauty & Personal Care,Mobile,Email Campaign,89,2.97,1.0101,17497.68,4330.68,Bronze
1044,2,1008.6199999999999,504.30999999999995,Fashion,Desktop,Organic Search,52,1.73,1.1561,6996.39,1008.62,Bronze
1047,1,922.92,922.92,Toys & Baby,Mobile,Social Media,1,0.03,5.0,55375.2,922.92,Silver
1054,1,2322.16,2322.16,Books,Mobile,Referral,1,0.03,5.0,139329.6,2322.16,Platinum
1056,1,345.71,345.71,Grocery,Desktop,Direct,1,0.03,5.0,20742.6,345.71,Silver
1058,2,6257.73,3128.865,Beauty & Personal Care,Desktop,Direct,103,3.43,0.5831,21893.29,6257.73,Silver
1062,2,5304.35,2652.175,Grocery,Desktop,Organic Search,190,6.33,0.316,10057.05,5304.35,Bronze
1065,1,7889.36,7889.36,Home & Kitchen,Desktop,Paid Ads,1,0.03,5.0,473361.6,7889.36,Platinum
1066,1,3654.18,3654.18,Home & Kitchen,Mobile,Direct,1,0.03,5.0,219250.8,3654.18,Platinum
1067,1,2032.07,2032.07,Electronics,Mobile,Social Media,1,0.03,5.0,121924.2,2032.07,Gold
1071,1,1331.9,1331.9,Toys & Baby,Desktop,Social Media,1,0.03,5.0,79914.0,1331.9,Gold
1076,1,1449.62,1449.62,Grocery,Desktop,Organic Search,1,0.03,5.0,86977.2,1449.62,Gold
1077,1,1959.6,1959.6,Grocery,Mobile,Social Media,1,0.03,5.0,117576.0,1959.6,Gold
1078,1,490.0,490.0,Electronics,Mobile,Social Media,1,0.03,5.0,29400.0,490.0,Silver
1079,1,4252.77,4252.77,Books,Mobile,Email Campaign,1,0.03,5.0,255166.2,4252.77,Platinum
1080,1,2111.96,2111.96,Fashion,Desktop,Social Media,1,0.03,5.0,126717.6,2111.96,Platinum
1082,1,1601.42,1601.42,Electronics,Mobile,Paid Ads,1,0.03,5.0,96085.2,1601.42,Gold
1083,1,1056.76,1056.76,Beauty & Personal Care,Desktop,Email Campaign,1,0.03,5.0,63405.6,1056.76,Gold
1084,1,3648.04,3648.04,Grocery,Mobile,Direct,1,0.03,5.0,218882.4,3648.04,Platinum
1086,1,1236.24,1236.24,Fashion,Desktop,Referral,1,0.03,5.0,74174.4,1236.24,Gold
1087,1,222.61,222.61,Sports & Fitness,Mobile,Referral,1,0.03,5.0,13356.6,222.61,Bronze
1089,1,2169.46,2169.46,Toys & Baby,Desktop,Referral,1,0.03,5.0,130167.6,2169.46,Platinum
1090,1,3331.6,3331.6,Home & Kitchen,Desktop,Email Campaign,1,0.03,5.0,199896.0,3331.6,Platinum
1092,1,2987.93,2987.93,Books,Desktop,Social Media,1,0.03,5.0,179275.8,2987.93,Platinum
1095,2,3681.54,1840.77,Books,Desktop,Direct,114,3.8,0.5263,11625.57,3681.54,Bronze
1096,2,4912.93,2456.465,Beauty & Personal Care,Desktop,Email Campaign,123,4.1,0.4878,14379.16,4912.93,Bronze
1099,1,2717.82,2717.82,Grocery,Mobile,Social Media,1,0.03,5.0,163069.2,2717.82,Platinum
1100,2,788.77,394.385,Fashion,Desktop,Direct,203,6.77,0.2954,1398.02,788.77,Bronze
1101,1,1339.45,1339.45,Fashion,Tablet,Paid Ads,1,0.03,5.0,80367.0,1339.45,Gold
1105,1,1244.58,1244.58,Electronics,Desktop,Organic Search,1,0.03,5.0,74674.8,1244.58,Gold
1110,1,2098.22,2098.22,Toys & Baby,Mobile,Email Campaign,1,0.03,5.0,125893.2,2098.22,Platinum
1111,1,1839.86,1839.86,Beauty & Personal Care,Desktop,Paid Ads,1,0.03,5.0,110391.6,1839.86,Gold
1112,1,2540.56,2540.56,Home & Kitchen,Mobile,Organic Search,1,0.03,5.0,152433.6,2540.56,Platinum
1115,1,1763.68,1763.68,Grocery,Desktop,Organic Search,1,0.03,5.0,105820.8,1763.68,Gold
1118,1,4522.5,4522.5,Home & Kitchen,Desktop,Organic Search,1,0.03,5.0,271350.0,4522.5,Platinum
1121,1,1894.59,1894.59,Books,Desktop,Social Media,1,0.03,5.0,113675.4,1894.59,Gold
1124,2,1684.02,842.01,Electronics,Desktop,Organic Search,265,8.83,0.2265,2288.58,1684.02,Bronze
1126,2,2051.36,1025.68,Sports & Fitness,Desktop,Referral,97,3.23,0.6192,7621.21,2051.36,Bronze
1130,1,1026.78,1026.78,Fashion,Mobile,Social Media,1,0.03,5.0,61606.8,1026.78,Gold
1131,1,1150.86,1150.86,Sports & Fitness,Desktop,Referral,1,0.03,5.0,69051.6,1150.86,Gold
1132,2,3476.2200000000003,1738.1100000000001,Books,Desktop,Referral,100,3.33,0.6006,12526.91,3476.22,Bronze
