cohort_month,month_index,customer_count
2024-01,0,485
2024-01,1,22
2024-01,2,22
2024-01,3,22
2024-01,4,22
2024-01,5,20
2024-01,6,27
2024-01,7,24
2024-01,8,29
2024-01,9,19
2024-01,10,17
2024-01,11,33
2024-02,0,417
2024-02,1,21
2024-02,2,24
2024-02,3,18
2024-02,4,16
2024-02,5,14
2024-02,6,22
2024-02,7,25
2024-02,8,23
2024-02,9,20
2024-02,10,14
2024-03,0,428
2024-03,1,37
2024-03,2,25
2024-03,3,23
2024-03,4,14
2024-03,5,22
2024-03,6,18
2024-03,7,26
2024-03,8,12
2024-03,9,31
2024-04,0,361
2024-04,1,11
2024-04,2,23
2024-04,3,21
2024-04,4,16
2024-04,5,22
2024-04,6,25
2024-04,7,23
2024-04,8,18
2024-05,0,353
2024-05,1,21
2024-05,2,16
2024-05,3,25
2024-05,4,21
2024-05,5,18
2024-05,6,11
2024-05,7,16
2024-06,0,354
2024-06,1,21
2024-06,2,26
2024-06,3,15
2024-06,4,15
2024-06,5,20
2024-06,6,23
2024-07,0,335
2024-07,1,16
2024-07,2,18
2024-07,3,10
2024-07,4,14
2024-07,5,16
2024-08,0,344
2024-08,1,19
2024-08,2,16
2024-08,3,12
2024-08,4,20
2024-09,0,302
2024-09,1,12
2024-09,2,21
2024-09,3,19
2024-10,0,281
2024-10,1,11
2024-10,2,14
2024-11,0,256
2024-11,1,17
2024-12,0,260
