cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2024-01,100.0,4.54,4.54,4.54,4.54,4.12,5.57,4.95,5.9799999999999995,3.92,3.51,6.800000000000001
2024-02,100.0,5.04,5.76,4.32,3.84,3.36,5.28,6.0,5.52,4.8,3.36,
2024-03,100.0,8.64,5.84,5.37,3.27,5.140000000000001,4.21,6.069999999999999,2.8000000000000003,7.24,,
2024-04,100.0,3.05,6.370000000000001,5.82,4.43,6.09,6.93,6.370000000000001,4.99,,,
2024-05,100.0,5.949999999999999,4.53,7.08,5.949999999999999,5.1,3.1199999999999997,4.53,,,,
2024-06,100.0,5.93,7.340000000000001,4.24,4.24,5.65,6.5,,,,,
2024-07,100.0,4.78,5.37,2.9899999999999998,4.18,4.78,,,,,,
2024-08,100.0,5.52,4.65,3.49,5.81,,,,,,,
2024-09,100.0,3.9699999999999998,6.950000000000001,6.29,,,,,,,,
2024-10,100.0,3.91,4.9799999999999995,,,,,,,,,
2024-11,100.0,6.64,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,
