customer_id,total_purchases,total_revenue,avg_order_value,product_category,device_type,payment_method,marketing_channel,days_since_purchase,churn_status,is_churned,churn_risk
1000,1,1228.72,1228.72,Grocery,Desktop,Cash on Delivery,Direct,248,Churned,1,Churned
1003,1,1681.96,1681.96,Fashion,Mobile,UPI,Direct,89,Active,0,High Risk
1008,1,1546.42,1546.42,Home & Kitchen,Desktop,Debit Card,Referral,49,Active,0,Medium Risk
1009,3,4616.63,1538.8766666666668,Books,Desktop,Credit Card,Organic Search,100,Churned,1,Churned
1014,1,2423.92,2423.92,Toys & Baby,Desktop,Credit Card,Paid Ads,318,Churned,1,Churned
1026,1,244.3,244.3,Fashion,Mobile,Cash on Delivery,Paid Ads,350,Churned,1,Churned
1028,1,2328.44,2328.44,Toys & Baby,Desktop,Cash on Delivery,Social Media,138,Churned,1,Churned
1029,1,357.02,357.02,Grocery,Tablet,Credit Card,Email Campaign,155,Churned,1,Churned
1031,2,2231.42,1115.71,Electronics,Desktop,Cash on Delivery,Direct,129,Churned,1,Churned
1033,1,571.06,571.06,Electronics,Desktop,Debit Card,Direct,333,Churned,1,Churned
1035,1,325.77,325.77,Sports & Fitness,Desktop,Credit Card,Paid Ads,137,Churned,1,Churned
1036,1,395.17,395.17,Grocery,Mobile,UPI,Organic Search,51,Active,0,Medium Risk
1038,1,4503.98,4503.98,Beauty & Personal Care,Desktop,UPI,Social Media,52,Active,0,Medium Risk
1039,2,1852.98,926.49,Electronics,Desktop,Credit Card,Direct,15,Active,0,Low Risk
1040,2,7417.69,3708.845,Books,Mobile,Cash on Delivery,Organic Search,14,Active,0,Low Risk
1041,1,1296.48,1296.48,Sports & Fitness,Desktop,UPI,Referral,121,Churned,1,Churned
1042,3,4330.68,1443.5600000000002,Beauty & Personal Care,Mobile,Debit Card,Email Campaign,139,Churned,1,Churned
1044,2,1008.6199999999999,504.30999999999995,Fashion,Desktop,Credit Card,Organic Search,73,Active,0,High Risk
1047,1,922.92,922.92,Toys & Baby,Mobile,Credit Card,Social Media,126,Churned,1,Churned
1054,1,2322.16,2322.16,Books,Mobile,Cash on Delivery,Referral,184,Churned,1,Churned
1056,1,345.71,345.71,Grocery,Desktop,Cash on Delivery,Direct,79,Active,0,High Risk
1058,2,6257.73,3128.865,Beauty & Personal Care,Desktop,Cash on Delivery,Direct,222,Churned,1,Churned
1062,2,5304.35,2652.175,Grocery,Desktop,EMI,Organic Search,94,Churned,1,Churned
1065,1,7889.36,7889.36,Home & Kitchen,Desktop,Credit Card,Paid Ads,223,Churned,1,Churned
1066,1,3654.18,3654.18,Home & Kitchen,Mobile,EMI,Direct,142,Churned,1,Churned
1067,1,2032.07,2032.07,Electronics,Mobile,Net Banking,Social Media,119,Churned,1,Churned
1071,1,1331.9,1331.9,Toys & Baby,Desktop,Cash on Delivery,Social Media,132,Churned,1,Churned
