customer_id,visit_date,device_type,user_type,marketing_channel,product_id,product_category,unit_price,quantity,discount_percent,discount_amount,revenue,pages_viewed,time_on_site_sec,added_to_cart,purchased,cart_abandoned,rating,review_helpful_votes,payment_method,day_of_month,month_number,visit_weekday,visit_season,session_duration_bucket,visit_year,visit_quarter,month_name
1803,28-11-2024,Tablet,Returning User,Social Media,894,Toys & Baby,651.57,1,20,130.31,0,21,965,Added,Not Purchased,Abandoned,4,0,Credit Card,28,11,Thursday,Spring,Long,2024,Q4,November
7964,25-09-2024,Tablet,New User,Referral,844,Home & Kitchen,945.27,4,15,567.16,0,21,1158,Not Added,Not Purchased,Not Abandoned,4,0,Debit Card,25,9,Wednesday,Spring,Long,2024,Q3,September
6890,31-05-2024,Desktop,Returning User,Organic Search,865,Electronics,400.44,4,0,0,0,19,710,Added,Not Purchased,Abandoned,4,0,Debit Card,31,5,Friday,Summer,Short,2024,Q2,May
4949,30-01-2024,Desktop,New User,Social Media,851,Beauty & Personal Care,1268.54,2,5,126.85,2410.23,19,1674,Added,Purchased,Not Abandoned,4,4,Credit Card,30,1,Tuesday,Winter,Very Long,2024,Q1,January
4896,25-02-2024,Desktop,Returning User,Direct,794,Beauty & Personal Care,880.81,3,0,0,0,13,427,Added,Not Purchased,Abandoned,4,0,Credit Card,25,2,Sunday,Winter,Very Short,2024,Q1,February
8726,29-03-2024,Desktop,New User,Referral,481,Beauty & Personal Care,458.42,2,10,91.68,0,6,949,Added,Not Purchased,Abandoned,4,0,Credit Card,29,3,Friday,Summer,Long,2024,Q1,March
1773,28-05-2024,Mobile,Returning User,Paid Ads,634,Electronics,623.83,4,0,0,2495.32,15,1608,Added,Purchased,Not Abandoned,4,0,EMI,28,5,Tuesday,Summer,Very Long,2024,Q2,May
7275,19-11-2024,Desktop,New User,Referral,225,Toys & Baby,1491.56,3,15,671.2,0,24,1169,Not Added,Not Purchased,Not Abandoned,4,0,Cash on Delivery,19,11,Tuesday,Spring,Long,2024,Q4,November
2813,13-02-2024,Desktop,Returning User,Email Campaign,628,Home & Kitchen,791.88,2,0,0,0,18,285,Added,Not Purchased,Abandoned,4,0,Debit Card,13,2,Tuesday,Winter,Very Short,2024,Q1,February
1847,29-07-2024,Desktop,New User,Referral,664,Grocery,164.42,4,10,65.77,0,6,476,Added,Not Purchased,Abandoned,4,0,Credit Card,29,7,Monday,Autumn,Short,2024,Q3,July
5737,06-05-2024,Mobile,Returning User,Social Media,386,Sports & Fitness,318.62,4,10,127.45,0,8,1557,Not Added,Not Purchased,Not Abandoned,4,0,Credit Card,6,5,Monday,Summer,Very Long,2024,Q2,May
9779,18-01-2024,Mobile,Returning User,Organic Search,594,Sports & Fitness,103.54,2,20,41.42,0,24,1724,Added,Not Purchased,Abandoned,4,0,Net Banking,18,1,Thursday,Winter,Very Long,2024,Q1,January
7621,14-08-2024,Desktop,New User,Referral,379,Toys & Baby,373.33,4,5,74.67,0,4,309,Not Added,Not Purchased,Not Abandoned,4,0,EMI,14,8,Wednesday,Autumn,Very Short,2024,Q3,August
7849,14-09-2024,Mobile,New User,Direct,786,Grocery,682.23,1,10,68.22,0,5,1273,Not Added,Not Purchased,Not Abandoned,4,0,Cash on Delivery,14,9,Saturday,Spring,Long,2024,Q3,September
7456,16-12-2024,Mobile,Returning User,Organic Search,175,Home & Kitchen,837.89,2,25,418.94,0,5,1462,Not Added,Not Purchased,Not Abandoned,4,0,EMI,16,12,Monday,Winter,Very Long,2024,Q4,December
8073,03-07-2024,Desktop,Returning User,Email Campaign,766,Grocery,1151.07,2,15,345.32,0,16,143,Not Added,Not Purchased,Not Abandoned,4,0,Debit Card,3,7,Wednesday,Autumn,Very Short,2024,Q3,July
5618,28-04-2024,Desktop,Returning User,Social Media,691,Electronics,693.68,1,0,0,0,10,180,Added,Not Purchased,Abandoned,4,0,UPI,28,4,Sunday,Summer,Very Short,2024,Q2,April
2152,07-11-2024,Mobile,New User,Email Campaign,250,Fashion,481.83,4,0,0,0,19,1019,Added,Not Purchased,Abandoned,4,0,Cash on Delivery,7,11,Thursday,Spring,Long,2024,Q4,November
8556,31-03-2024,Mobile,Returning User,Paid Ads,145,Grocery,687.69,1,0,0,0,1,200,Added,Not Purchased,Abandoned,4,0,Net Banking,31,3,Sunday,Summer,Very Short,2024,Q1,March
5053,06-09-2024,Desktop,New User,Organic Search,525,Beauty & Personal Care,806.73,3,0,0,0,18,1168,Not Added,Not Purchased,Not Abandoned,4,0,UPI,6,9,Friday,Spring,Long,2024,Q3,September
5502,10-12-2024,Tablet,New User,Referral,842,Toys & Baby,1374.55,4,15,824.73,0,21,1781,Added,Not Purchased,Abandoned,4,0,Debit Card,10,12,Tuesday,Winter,Very Long,2024,Q4,December
4336,02-01-2024,Desktop,Returning User,Referral,394,Fashion,361.79,4,0,0,0,18,720,Added,Not Purchased,Abandoned,4,0,Debit Card,2,1,Tuesday,Winter,Short,2024,Q1,January
2642,03-12-2024,Desktop,Returning User,Direct,237,Grocery,557.98,1,15,83.7,0,17,1526,Added,Not Purchased,Abandoned,4,0,Debit Card,3,12,Tuesday,Winter,Very Long,2024,Q4,December
9339,16-03-2024,Mobile,New User,Social Media,835,Home & Kitchen,799.51,1,10,79.95,719.56,22,943,Added,Purchased,Not Abandoned,5,16,Debit Card,16,3,Saturday,Summer,Long,2024,Q1,March
