customer_id,frequency,monetary,recency,r_score,f_score,m_score,rfm_score,rfm_total,segment
1000,1,1228.72,248,2,1,2,212,5,At Risk
1003,1,1681.96,89,4,1,3,413,8,New & Promising
1008,1,1546.42,49,5,1,3,513,9,New & Promising
1009,3,4616.63,100,4,5,5,455,14,Champions
1014,1,2423.92,318,1,1,4,114,6,Lost
1026,1,244.3,350,1,1,1,111,3,Lost
1028,1,2328.44,138,3,1,3,313,7,New & Promising
1029,1,357.02,155,3,1,1,311,5,New & Promising
1031,2,2231.42,129,3,4,3,343,10,Loyal
1033,1,571.06,333,1,1,1,111,3,Lost
1035,1,325.77,137,3,1,1,311,5,New & Promising
1036,1,395.17,51,5,1,1,511,7,New & Promising
1038,1,4503.98,52,5,1,5,515,11,New & Promising
1039,2,1852.98,15,5,4,3,543,12,Champions
1040,2,7417.69,14,5,4,5,545,14,Champions
1041,1,1296.48,121,4,1,2,412,7,New & Promising
1042,3,4330.68,139,3,5,5,355,13,Loyal
1044,2,1008.6199999999999,73,4,4,2,442,10,Champions
1047,1,922.92,126,3,1,2,312,6,New & Promising
1054,1,2322.16,184,3,1,3,313,7,New & Promising
1056,1,345.71,79,4,1,1,411,6,New & Promising
1058,2,6257.73,222,2,4,5,245,11,At Risk
1062,2,5304.35,94,4,4,5,445,13,Champions
1065,1,7889.36,223,2,1,5,215,8,At Risk
1066,1,3654.18,142,3,1,4,314,8,New & Promising
1067,1,2032.07,119,4,1,3,413,8,New & Promising
1071,1,1331.9,132,3,1,2,312,6,New & Promising
1076,1,1449.62,342,1,1,3,113,5,Lost
1077,1,1959.6,89,4,1,3,413,8,New & Promising
1078,1,490.0,215,2,1,1,211,4,At Risk
1079,1,4252.77,107,4,1,5,415,10,New & Promising
1080,1,2111.96,124,3,1,3,313,7,New & Promising
1082,1,1601.42,225,2,1,3,213,6,At Risk
1083,1,1056.76,166,3,1,2,312,6,New & Promising
1084,1,3648.04,355,1,1,4,114,6,Lost
1086,1,1236.24,339,1,1,2,112,4,Lost
1087,1,222.61,218,2,1,1,211,4,At Risk
1089,1,2169.46,212,2,1,3,213,6,At Risk
1090,1,3331.6,216,2,1,4,214,7,At Risk
1092,1,2987.93,166,3,1,4,314,8,New & Promising
1095,2,3681.54,50,5,4,4,544,13,Champions
1096,2,4912.93,136,3,4,5,345,12,Loyal
1099,1,2717.82,88,4,1,4,414,9,New & Promising
1100,2,788.77,141,3,4,2,342,9,Loyal
1101,1,1339.45,42,5,1,2,512,8,New & Promising
1105,1,1244.58,327,1,1,2,112,4,Lost
1110,1,2098.22,41,5,1,3,513,9,New & Promising
1111,1,1839.86,223,2,1,3,213,6,At Risk
1112,1,2540.56,323,1,1,4,114,6,Lost
1115,1,1763.68,214,2,1,3,213,6,At Risk
1118,1,4522.5,351,1,1,5,115,7,Lost
1121,1,1894.59,227,2,1,3,213,6,At Risk
1124,2,1684.02,68,4,4,3,443,11,Champions
1126,2,2051.36,126,3,4,3,343,10,Loyal
1130,1,1026.78,196,2,1,2,212,5,At Risk
1131,1,1150.86,182,3,1,2,312,6,New & Promising
1132,2,3476.2200000000003,124,3,4,4,344,11,Loyal
1134,3,7061.16,53,5,5,5,555,15,Champions
1138,1,924.05,29,5,1,2,512,8,New & Promising
1145,1,997.25,56,5,1,2,512,8,New & Promising
1146,1,2950.09,32,5,1,4,514,10,New & Promising
1148,1,843.58,351,1,1,2,112,4,Lost
1150,1,2340.49,234,2,1,3,213,6,At Risk
1151,1,673.69,64,4,1,1,411,6,New & Promising
1152,1,772.78,109,4,1,2,412,7,New & Promising
1153,1,1069.29,86,4,1,2,412,7,New & Promising
1155,2,4908.51,115,4,4,5,445,13,Champions
